productType,productName,price,url,description,terrain,abilityLevel,rockerType,shape,flexRating,materials,warranty
Snowboard,Season Kin Snowboard 2023,$499.00,https://www.evo.com/snowboards/season-kin-snowboard,"Spend a season in the park and you'll see why the rail sliders, box boopers, and jump line maniacs think of themselves as family. Day after day honing skills, hollering encouragement, and picking your homies up off the snow to have another crack at nailing that. one. friggin'. trick. It shifts your perception of what matters, of why we do the things we do. The Season Kin Snowboard is a directional twin shape for the whole freestyle fam - men, women, young, and old. It has symmetrical camber for added grip and energy, a playful, pressable flex, and durable construction engineered to stand up to everyday abuse in the park and beyond.","Freestyle, All-Mountain",Intermediate-Advanced,Camber,Directional Twin,Soft,Wood,Limited Lifetime
Snowboard,Season Nexus Snowboard 2024,$549.00,https://www.evo.com/snowboards/season-nexus-snowboard,"The Season Nexus Snowboard stands out in the arms race of bloated quivers and technical jargon - a simple skeleton key capable of unlocking the innate potential of any day in the mountains. Its straightforward geometry cuts through the noise, creating something that adds up to much more than the sum of its parts. Ample float in powder, smooth, engaged turns on hardpack, and dependable performance in everyday resort chop. It’s the ultimate quiver of one - more than enough to remind you why you fell in love with snowboarding in the first place.","All-Mountain, Freeride",Intermediate-Advanced,Rocker/Camber/Rocker,Directional Twin,Medium,Wood,Limited Lifetime
Snowboard,Roxy Dawn Snowboard - Women's 2023,$349.99,https://www.evo.com/snowboards/roxy-dawn-snowboard-womens,"Looking for a new BFF? Preferably one who enjoys early morning carpool karaoke sessions on the way to go hang out in snow-capped mountains? The Roxy Dawn Snowboard is your ride or die, combining an easygoing personality with an insatiable thirst for adventure. This twin shape has an Easy-Rise rocker profile and a soft, forgiving flex that's ideal for beginner riders on the up.",All-Mountain,Beginner-Intermediate,Rocker/Flat/Rocker,True Twin,Soft,Wood,1 Year
Snowboard,Jones Dream Weaver Splitboard - Women's 2023,$799.95,https://www.evo.com/splitboards/jones-dream-weaver-splitboard-womens,"The splitboard formerly known as the Dream Catcher gets renamed, with dialed mid-flex performance, touring-friendly tech, and, ahem, no loose strings. The Jones Dream Weaver Splitboard is the ride for those who don't necessarily charge the biggest and steepest lines they can find, and want something a little less demanding than a Solution Split. With a flex rating of ""6"" and Traction Tech 3.0 edges for better hold on those sketchy traverses, this board will get you there and get down with you like a good friend.",Splitboarding,Advanced-Expert,Rocker/Camber/Rocker,Directional,Medium,"Metal, Wood",3 Years
Snowboard,Lib Tech Skate Banana BTX Snowboard 2023,$559.99,https://www.evo.com/snowboards/lib-tech-skate-banana-btx-snowboard-2023,"The board that started it all. The Lib Tech Skate Banana BTX Snowboard was the originator of Lib Tech's signature Banana rocker technology. By placing cambered pockets under each foot with a rockered section in the middle, the Skate Banana lets you pop and pivot at will, enjoying all the benefits of both rocker and camber. With Magne-Traction enhanced edging on groomers and a park ready twin profile, this board is simple, intuitive, and ready to do it all in the resort.","Freestyle, All-Mountain",Beginner-Intermediate,Camber/Rocker/Camber,True Twin,Soft,Wood,1 Year
Snowboard,K2 Raygun Pop Snowboard 2023,$429.95,https://www.evo.com/snowboards/k2-raygun-pop-snowboard,"The K2 Raygun Pop Snowboard is a point-and-shoot all-mountain snowboard for the people. This smooth-flexing directional twin comes with a cambered shape for great edge hold and plenty of pop. It's accessible for beginner riders to learn on, but backed with high quality construction and a versatile shape that also makes it perfect for intermediate riders that like to mix it up on a variety of terrain. Wherever your voyage takes you, don't forget to bring your Raygun.",All-Mountain,Beginner-Intermediate,Rocker/Camber/Rocker,Directional Twin,Medium,"Carbon, Wood",3 Years
Snowboard,Bataleon Party Wave Snowboard 2023,$459.95,https://www.evo.com/snowboards/bataleon-party-wave-snowboard-2023,"If you head for the trees when the snow starts falling, the Bataleon Party Wave is the maneuverable pow stick you need in your quiver. The short, volume-shifted shape whips around obstacles with ease and the 3BT™ uplifted sidebases and narrow centerbase make edge-to-edge transitions even easier. The setback stance and slight swallowtail keep your nose out of the deep stuff but the wider shape also lets you throw some hard carves on the groomers for a shreddy fiesta in any conditions.","Freeride, Powder",Intermediate-Advanced,Camber,Directional Twin,Medium,Wood,2 Years
Snowboard,Arbor Formula Camber Snowboard 2023,$449.95,https://www.evo.com/snowboards/arbor-formula-camber-snowboard-2023,"The best formulas are pretty simple. Peanut butter and jelly, pizza and beer, and there's probably even some non-food combos that are successful. The Arbor Formula Camber Snowboard utilizes one such recipe: an all mountain twin shape, a manageable flex, and a lively core. Pointy swallowtails and pure park boards are great, but take them out of their element and their shine dulls a bit. The Formula leverages decades of real life results and decides not to mess with what works. Pick your size and call it good: your board is going to rip today!",All-Mountain,Intermediate-Advanced,Camber,Directional Twin,Medium,Wood,3 Years
Snowboard,Jones Frontier Splitboard 2023,$799.95,https://www.evo.com/splitboards/jones-frontier-splitboard,"The Jones Frontier Splitboard is the board you'd want to ride every day, just cut in half. Combining floaty directional rocker with a freestyle-inspired tail and a playful flex, this board excels in the variable conditions you expect in the backcountry, but doesn't flounder when the stars align and you find yourself in deep pow. Traction Tech 2.0 edges ensure grip and stability when things are firm, whether arcing turns on the descent or side-hilling up an icy skin track. Float through the soft stuff, harvest the corn and hit every natural feature on the way down; the Jones Frontier Splitboard is the adventure companion you've been waiting for.",Splitboarding,Intermediate-Advanced,Rocker/Camber/Rocker,Directional Twin,Medium,Wood,3 Years
Snowboard,Arbor Swoon Camber Snowboard - Women's 2023,$549.95,https://www.evo.com/snowboards/arbor-swoon-camber-snowboard-womens-2023,"The Arbor Swoon Camber Snowboard is an all-around board for expert riders. It has an exceptionally well-balanced twin shape and a fully cambered profile, making it a blast for blasting through chunder or blasting off to the moon. It floats beautifully through powder, cuts with scalpel-like precision through technical terrain and provides tons of energy and snappy response for playing with speed and turn shapes on mellower runs.","All-Mountain, Freeride",Advanced-Expert,Camber,Directional Twin,Medium,Wood,3 Years
